id,price,address,bed,bath,type
679,2450,18,2,2,Apartment
680,3000,2,2,2,Apartment
681,6000,2,3,3,Apartment
682,3200,18,3,2,Apartment
683,2150,6,1,1,Apartment
684,2700,6,2,2,Apartment
685,2050,8,1,1,Apartment
686,3650,2,2,2,Apartment
687,3750,2,2,2,Apartment
688,2750,19,2,2,Apartment
689,3300,2,2,2,Apartment
690,4200,2,2,2,Apartment
691,4230,2,3,2,Apartment
692,2500,1,1,1,Apartment
693,3245,1,2,2,Apartment
694,3575,1,2,2,Apartment
695,2000,19,1,1,Apartment
696,2335,19,2,2,Apartment
697,2850,19,3,2,Apartment
698,1900,9,1,1,Apartment
699,2250,9,2,2,Apartment
700,3045,9,3,3,Apartment
701,2000,6,1,1,Apartment
702,2400,6,2,2,Apartment
703,3200,6,3,2,Apartment
704,2450,2,1,1,Apartment
705,2900,2,2,2,Apartment
706,3900,2,3,2,Apartment
707,3150,2,2,2,Apartment
708,3572,2,2,2,Apartment
709,4000,2,2,2,Apartment
710,2050,15,2,2,House
711,2350,15,3,3,House
712,2500,15,4,3,House
713,1750,8,1,1,Apartment
714,2450,2,1,1,Apartment
715,1750,18,1,2,Apartment
716,2150,18,2,2,Apartment
717,3250,5,3,2,House
718,2000,6.5,1,1,Apartment
719,2325,6.5,2,2,Apartment
720,3000,6.5,3,2,Apartment
721,1900,18,1,1,Apartment
722,2450,18,2,2,Apartment
723,3000,2,2,2,Apartment
724,6000,2,3,3,Apartment
725,3200,18,3,2,Apartment
726,2150,6,1,1,Apartment
727,2700,6,2,2,Apartment
728,2050,8,1,1,Apartment
729,3650,2,2,2,Apartment
730,3750,2,2,2,Apartment
731,2750,19,2,2,Apartment
732,3300,2,2,2,Apartment
733,4200,2,2,2,Apartment
734,4230,2,3,2,Apartment
735,2500,1,1,1,Apartment
736,3245,1,2,2,Apartment
737,3575,1,2,2,Apartment
738,2000,19,1,1,Apartment
739,2335,19,2,2,Apartment
740,2850,19,3,2,Apartment
741,1900,9,1,1,Apartment
742,2250,9,2,2,Apartment
743,3045,9,3,3,Apartment
744,2000,6,1,1,Apartment
745,2400,6,2,2,Apartment
746,3200,6,3,2,Apartment
747,3150,2,2,2,Apartment
748,3572,2,2,2,Apartment
749,4000,2,2,2,Apartment
750,2450,2,1,1,Apartment
751,2900,2,2,2,Apartment
752,3900,2,3,2,Apartment
753,2050,15,2,2,House
754,2350,15,3,3,House
755,2500,15,4,3,House
756,1750,8,1,1,Apartment
757,2450,2,1,1,Apartment
758,1750,18,1,2,Apartment
759,2150,18,2,2,Apartment
760,3250,5,3,2,House
761,2000,6.5,1,1,Apartment
762,2325,6.5,2,2,Apartment
763,3000,6.5,3,2,Apartment
764,1900,18,1,1,Apartment
765,2450,18,2,2,Apartment
766,3000,2,2,2,Apartment
767,6000,2,3,3,Apartment
768,3200,18,3,2,Apartment
769,2150,6,1,1,Apartment
770,2700,6,2,2,Apartment
771,2050,8,1,1,Apartment
772,3650,2,2,2,Apartment
773,3750,2,2,2,Apartment
774,2750,19,2,2,Apartment
775,3300,2,2,2,Apartment
776,4200,2,2,2,Apartment
777,4230,2,3,2,Apartment
778,2500,1,1,1,Apartment
779,3245,1,2,2,Apartment
780,3575,1,2,2,Apartment
781,2000,19,1,1,Apartment
782,2335,19,2,2,Apartment
783,2850,19,3,2,Apartment
784,1900,9,1,1,Apartment
785,2250,9,2,2,Apartment
786,3045,9,3,3,Apartment
787,2000,6,1,1,Apartment
788,2400,6,2,2,Apartment
789,3200,6,3,2,Apartment
790,3150,2,2,2,Apartment
791,3572,2,2,2,Apartment
792,4000,2,2,2,Apartment
793,2450,2,1,1,Apartment
794,2900,2,2,2,Apartment
795,3900,2,3,2,Apartment
796,2050,15,2,2,House
797,2350,15,3,3,House
798,2500,15,4,3,House
799,1750,8,1,1,Apartment
800,2450,2,1,1,Apartment
801,1750,18,1,2,Apartment
802,2150,18,2,2,Apartment
803,3250,5,3,2,House
804,2000,6.5,1,1,Apartment
805,2325,6.5,2,2,Apartment
806,3000,6.5,3,2,Apartment
807,1900,18,1,1,Apartment
808,2450,18,2,2,Apartment
809,3000,2,2,2,Apartment
810,6000,2,3,3,Apartment
811,3200,18,3,2,Apartment
812,2150,6,1,1,Apartment
813,2700,6,2,2,Apartment
814,2050,8,1,1,Apartment
815,3650,2,2,2,Apartment
816,3750,2,2,2,Apartment
817,2750,19,2,2,Apartment
818,3300,2,2,2,Apartment
819,4200,2,2,2,Apartment
820,4230,2,3,2,Apartment
821,2500,1,1,1,Apartment
822,3245,1,2,2,Apartment
823,3575,1,2,2,Apartment
824,2000,19,1,1,Apartment
825,2335,19,2,2,Apartment
826,2850,19,3,2,Apartment
827,1900,9,1,1,Apartment
828,2250,9,2,2,Apartment
829,3045,9,3,3,Apartment
830,2000,6,1,1,Apartment
831,2400,6,2,2,Apartment
832,3200,6,3,2,Apartment
833,2450,2,1,1,Apartment
834,2900,2,2,2,Apartment
835,3900,2,3,2,Apartment
836,3150,2,2,2,Apartment
837,3572,2,2,2,Apartment
838,4000,2,2,2,Apartment
839,2050,15,2,2,House
840,2350,15,3,3,House
841,2500,15,4,3,House
842,1750,8,1,1,Apartment
843,2450,2,1,1,Apartment
844,1750,18,1,2,Apartment
845,2150,18,2,2,Apartment
846,3250,5,3,2,House
847,2000,6.5,1,1,Apartment
848,2325,6.5,2,2,Apartment
849,3000,6.5,3,2,Apartment
850,1900,18,1,1,Apartment
851,2450,18,2,2,Apartment
852,3000,2,2,2,Apartment
853,6000,2,3,3,Apartment
854,3200,18,3,2,Apartment
855,2150,6,1,1,Apartment
856,2700,6,2,2,Apartment
857,2050,8,1,1,Apartment
858,3650,2,2,2,Apartment
859,3750,2,2,2,Apartment
860,2750,19,2,2,Apartment
861,3300,2,2,2,Apartment
862,4200,2,2,2,Apartment
863,4230,2,3,2,Apartment
864,2500,1,1,1,Apartment
865,3245,1,2,2,Apartment
866,3575,1,2,2,Apartment
867,2000,19,1,1,Apartment
868,2335,19,2,2,Apartment
869,2850,19,3,2,Apartment
870,1900,9,1,1,Apartment
871,2250,9,2,2,Apartment
872,3045,9,3,3,Apartment
873,2000,6,1,1,Apartment
874,2400,6,2,2,Apartment
875,3200,6,3,2,Apartment
876,2450,2,1,1,Apartment
